"filename", "language", "JavaScript JSX", "PostCSS", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\App.jsx", "JavaScript JSX", 41, 0, 0, 0, 0, 1, 6, 48
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\Hooks\useLocalStorage.js", "JavaScript", 0, 0, 21, 0, 0, 0, 4, 25
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\Styles\BackToTop.module.css", "PostCSS", 0, 17, 0, 0, 0, 0, 2, 19
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\Styles\Footer.module.css", "PostCSS", 0, 51, 0, 0, 0, 0, 10, 61
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\Styles\Header.module.css", "PostCSS", 0, 93, 0, 0, 0, 0, 15, 108
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\Styles\Home\CompletedPreview.module.css", "PostCSS", 0, 44, 0, 0, 0, 0, 9, 53
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\Styles\Home\FeaturedHighlight.module.css", "PostCSS", 0, 53, 0, 0, 0, 0, 9, 62
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\Styles\Home\Home.module.css", "PostCSS", 0, 85, 0, 0, 0, 0, 14, 99
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\Styles\Home\QuotesMotivation.module.css", "PostCSS", 0, 32, 0, 0, 0, 0, 6, 38
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\Styles\Suggestion\SearchBar.module.css", "PostCSS", 0, 51, 0, 0, 0, 7, 8, 66
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\Styles\Suggestion\Suggestion.module.css", "PostCSS", 0, 25, 0, 0, 0, 0, 4, 29
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\Styles\Suggestion\SuggestionForm.module.css", "PostCSS", 0, 70, 0, 0, 0, 9, 10, 89
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\Styles\Suggestion\suggestionCard.module.css", "PostCSS", 0, 163, 0, 0, 0, 0, 29, 192
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\Styles\ThemeToggle.module.css", "PostCSS", 0, 29, 0, 0, 0, 0, 4, 33
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\Styles\Tracker.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\Theme\ThemeToggle.jsx", "JavaScript JSX", 34, 0, 0, 0, 0, 0, 5, 39
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\assets\lotties\Animation.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\components\BackToTop.jsx", "JavaScript JSX", 28, 0, 0, 0, 0, 0, 7, 35
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\components\Footer.jsx", "JavaScript JSX", 47, 0, 0, 0, 0, 0, 6, 53
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\components\Header.jsx", "JavaScript JSX", 114, 0, 0, 0, 0, 4, 11, 129
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\components\Home\CompletedPreview.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 0, 5, 38
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\components\Home\FeaturedHighlight.jsx", "JavaScript JSX", 55, 0, 0, 0, 0, 5, 3, 63
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\components\Home\LottieAniamtion.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\components\Home\QuotesMotivation.jsx", "JavaScript JSX", 74, 0, 0, 0, 0, 0, 10, 84
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\components\ProgressTracker.jsx", "JavaScript JSX", 43, 0, 0, 0, 0, 0, 3, 46
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\components\suggestion\AnimatedTipCard.jsx", "JavaScript JSX", 66, 0, 0, 0, 0, 0, 7, 73
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\components\suggestion\Search.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 0, 4, 37
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\components\suggestion\SuggestionCard.jsx", "JavaScript JSX", 124, 0, 0, 0, 0, 0, 12, 136
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\components\suggestion\SuggestionForm.jsx", "JavaScript JSX", 102, 0, 0, 0, 0, 3, 12, 117
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\context\HabitContext.jsx", "JavaScript JSX", 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\data\tips.json", "JSON", 0, 0, 0, 218, 0, 0, 27, 245
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\index.css", "PostCSS", 0, 65, 0, 0, 0, 6, 18, 89
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\main.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\pages\Completed.jsx", "JavaScript JSX", 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\pages\Home.jsx", "JavaScript JSX", 86, 0, 0, 0, 0, 0, 10, 96
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\pages\Suggestions.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\pages\Tracker.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\user\Documents\My future\Web DEv\REACT\habit-tracker\src\utils\getTipsByCatergory.js", "JavaScript", 0, 0, 8, 0, 0, 0, 3, 11
"Total", "-", 971, 778, 29, 219, 1, 35, 294, 2327
